Cell_Line,N_train,N_test,N_models,Pct_sensitive,Consensus_AUC,AUC_AVALON_RF,AUC_AVALON_LR,AUC_AVALON_SVM,AUC_AVALON_XGB,AUC_ECFP_RF,AUC_ECFP_LR,AUC_ECFP_SVM,AUC_ECFP_XGB,AUC_MACCS_RF,AUC_MACCS_LR,AUC_MACCS_SVM,AUC_MACCS_XGB,Mean_CLASS_LAG,Mean_CONS_STD,Mean_CONS_STD_PROB,Pct_AD_STD_lt010,Pct_AD_STD_lt020,CL_cov010,CL_cov020,CL_cov030,CL_cov040,CL_cov050,CL_cov060,CL_cov070,CL_cov080,CL_cov090,CL_cov100,CS_cov010,CS_cov020,CS_cov030,CS_cov040,CS_cov050,CS_cov060,CS_cov070,CS_cov080,CS_cov090,CS_cov100,CSP_cov010,CSP_cov020,CSP_cov030,CSP_cov040,CSP_cov050,CSP_cov060,CSP_cov070,CSP_cov080,CSP_cov090,CSP_cov100
NCI-H1792,320,81,12,18.45,0.524,0.5712,0.4538,0.4865,0.4702,0.5481,0.5212,0.4923,0.6856,0.4697,0.4635,0.4962,0.5644,0.1745,0.1525,0.0692,44.44,71.6,,0.9,0.78,0.6358,0.6597,0.5744,0.5667,0.5266,0.4564,0.524,0.5714,0.7,0.7121,0.6296,0.6477,0.5769,0.563,0.5222,0.4564,0.524,0.875,0.9,0.7024,0.6543,0.6477,0.5769,0.5722,0.5251,0.4564,0.524
NCI-H1793,316,80,12,2.78,0.2658,0.2658,0.6582,0.6709,0.6456,0.3544,0.2658,0.1772,0.6835,0.6582,0.1519,0.0506,0.5443,0.0244,0.0304,0.0039,95.0,96.25,,,0.913,0.6774,0.5385,0.4468,0.3818,0.3333,0.2958,0.2658,0.8571,0.9333,0.7826,0.6129,0.5128,0.4468,0.3818,0.3333,0.2958,0.2658,,,,,,0.3191,0.3273,0.3175,0.2958,0.2658
NCI-H1869,334,84,12,6.7,0.6883,0.7004,0.6271,0.6289,0.6976,0.7245,0.7347,0.7291,0.5584,0.6725,0.525,0.6104,0.5306,0.0577,0.0662,0.0108,77.38,91.67,1.0,0.5,0.32,0.625,0.5,0.4082,0.5655,0.6055,0.6254,0.6883,,,0.32,0.2424,0.4625,0.6111,0.5536,0.6055,0.631,0.6883,0.125,0.1875,0.16,0.5625,0.525,0.5408,0.5351,0.6055,0.6338,0.6883
NCI-H1915,322,81,12,8.44,0.3596,0.4075,0.3733,0.6164,0.3613,0.4897,0.5377,0.5428,0.3699,0.3767,0.5325,0.6233,0.4486,0.0785,0.0964,0.0194,70.37,82.72,0.375,0.4667,0.6548,0.4741,0.4889,0.5646,0.5357,0.4605,0.4038,0.3596,0.125,0.5952,0.6071,0.5571,0.5714,0.6128,0.5255,0.4605,0.4038,0.3596,0.75,0.625,0.8182,0.7328,0.5714,0.5578,0.5255,0.4605,0.4038,0.3596
NCI-H1944,322,81,12,20.1,0.7104,0.6408,0.569,0.3586,0.6776,0.6572,0.6437,0.2783,0.7195,0.6759,0.6233,0.6448,0.6425,0.1901,0.1622,0.0725,23.46,71.6,0.0,0.0,0.4848,0.3556,0.2807,0.2319,0.5038,0.5367,0.6841,0.7104,0.0,0.3333,0.4545,0.3556,0.2807,0.5364,0.5154,0.5961,0.6389,0.7104,0.0,0.4333,0.4545,0.3556,0.2807,0.2319,0.4923,0.601,0.6458,0.7104
NCI-H1975,342,86,12,20.56,0.6046,0.4947,0.451,0.5866,0.5196,0.6152,0.5915,0.6773,0.607,0.5453,0.6691,0.625,0.5163,0.2039,0.1672,0.0981,34.88,60.47,0.2857,0.4615,0.2857,0.2931,0.3373,0.3636,0.3825,0.4561,0.5683,0.6046,0.25,0.2444,0.2273,0.2931,0.2297,0.3693,0.4373,0.453,0.4982,0.6046,0.25,0.3571,0.2857,0.2931,0.2297,0.3523,0.3782,0.4545,0.5683,0.6046
NCI-H1993,320,81,12,8.23,0.5135,0.6264,0.4768,0.5772,0.5039,0.5541,0.5212,0.529,0.3417,0.4923,0.5579,0.4421,0.4189,0.075,0.0802,0.0248,81.48,86.42,,0.6875,0.6522,0.6444,0.5088,0.5556,0.5692,0.5763,0.5758,0.5135,,0.625,0.4583,0.5889,0.5,0.5667,0.5615,0.6404,0.5736,0.5135,0.875,0.6,0.6087,0.5806,0.6026,0.4889,0.5615,0.6404,0.5736,0.5135
NCI-H2009,265,67,12,9.94,0.6092,0.4856,0.5249,0.5805,0.4847,0.6216,0.6992,0.3218,0.613,0.567,0.5785,0.4521,0.5057,0.0981,0.0996,0.0341,70.15,83.58,,0.7692,0.6842,0.52,0.7,0.5676,0.5905,0.6413,0.6179,0.6092,,,0.65,0.6154,0.5591,0.6081,0.5857,0.5799,0.5582,0.6092,,0.3846,0.4,0.5,0.5699,0.6081,0.5857,0.5799,0.5582,0.6092
NCI-H2023,315,79,12,7.11,0.5868,0.7374,0.6073,0.3562,0.6142,0.5297,0.6142,0.516,0.5251,0.6541,0.516,0.4635,0.6119,0.0785,0.0883,0.034,77.22,84.81,,0.8667,0.7727,0.5667,0.5856,0.4815,0.4088,0.4917,0.4338,0.5868,,0.7333,0.7826,0.55,0.5586,0.4815,0.4088,0.4917,0.5522,0.5868,0.2857,0.4286,0.4545,0.4713,0.4234,0.4444,0.4088,0.4917,0.4338,0.5868
NCI-H2030,273,69,12,17.25,0.5325,0.5786,0.4675,0.5286,0.4766,0.6078,0.6312,0.6468,0.5299,0.6916,0.4753,0.7039,0.5299,0.1398,0.1279,0.0456,52.17,76.81,0.3333,0.1538,0.6111,0.6435,0.5632,0.5919,0.6388,0.5833,0.5462,0.5325,0.3333,0.1538,0.5926,0.6261,0.5517,0.6364,0.634,0.5795,0.5462,0.5325,0.3333,0.1538,0.6912,0.6261,0.5517,0.6364,0.6757,0.5795,0.5462,0.5325
NCI-H2085,299,75,12,10.7,0.4034,0.6208,0.3527,0.4058,0.4807,0.4565,0.4734,0.3792,0.4179,0.5906,0.5145,0.5048,0.4155,0.0932,0.0929,0.022,74.67,89.33,,,0.85,0.6296,0.6176,0.59,0.4917,0.5154,0.4489,0.4034,,0.7143,0.6905,0.5357,0.6176,0.6709,0.5816,0.5154,0.4489,0.4034,,0.4286,0.5952,0.5536,0.6176,0.6709,0.5816,0.5154,0.4489,0.4034
NCI-H2087,320,81,12,9.98,0.6757,0.7056,0.5579,0.473,0.7104,0.5097,0.5135,0.6004,0.5135,0.6477,0.6853,0.3456,0.5849,0.0846,0.0879,0.0148,76.54,88.89,,,0.7917,0.5938,0.475,0.6489,0.7783,0.7994,0.704,0.6757,,,,0.4375,0.475,0.7464,0.7689,0.7881,0.7511,0.6757,,,,0.5,0.475,0.617,0.7689,0.7881,0.7532,0.6757
NCI-H2110,278,70,12,16.67,0.6237,0.5268,0.5867,0.352,0.514,0.6518,0.6046,0.6492,0.7793,0.5166,0.514,0.4974,0.5395,0.1507,0.1459,0.0603,50.0,68.57,,0.75,0.4737,0.3462,0.6048,0.7184,0.6433,0.6929,0.6723,0.6237,0.6667,0.8182,0.6296,0.6667,0.6467,0.6574,0.6944,0.7102,0.7012,0.6237,0.8333,0.6667,0.6296,0.56,0.6667,0.6574,0.6972,0.7311,0.6723,0.6237
NCI-H2122,320,81,12,29.43,0.562,0.5243,0.5553,0.436,0.5687,0.6584,0.5923,0.5216,0.5849,0.6031,0.5303,0.4077,0.4987,0.2839,0.2043,0.1719,2.47,44.44,0.6429,0.7,0.4338,0.5,0.5615,0.5573,0.5365,0.5296,0.5017,0.562,0.1111,0.4167,0.5147,0.513,0.5397,0.5074,0.4473,0.4336,0.5408,0.562,0.7222,0.4808,0.4365,0.4826,0.559,0.5221,0.5661,0.5285,0.5017,0.562
NCI-H2135,326,82,12,5.39,0.2885,0.3798,0.3301,0.3654,0.2115,0.258,0.4904,0.3686,0.25,0.351,0.4327,0.5224,0.5353,0.0704,0.0885,0.0209,70.73,80.49,0.6429,0.4286,0.2727,0.2,0.1579,0.1277,0.1091,0.0952,0.0845,0.2885,0.5714,0.2667,0.2727,0.2,0.1579,0.1277,0.1091,0.0952,0.3107,0.2885,0.0,0.125,0.0758,0.1222,0.1316,0.1277,0.1091,0.0952,0.3143,0.2885
NCI-H2170,316,80,12,12.37,0.5887,0.4621,0.487,0.54,0.4497,0.4627,0.4989,0.5974,0.4399,0.5346,0.6342,0.4589,0.4827,0.0979,0.1011,0.0304,72.5,83.75,0.8571,0.4,0.7619,0.6339,0.5943,0.6376,0.5859,0.6019,0.67,0.5887,0.4286,0.6429,0.5397,0.5517,0.4931,0.5116,0.5833,0.6432,0.6323,0.5887,0.4667,0.5417,0.65,0.6071,0.4931,0.5163,0.5859,0.6467,0.6362,0.5887
NCI-H2172,273,69,12,3.22,0.4747,0.5505,0.5606,0.4545,0.404,0.7374,0.7222,0.3182,0.4596,0.6338,0.5,0.5,0.4899,0.0349,0.0511,0.0104,85.51,91.3,,,0.85,0.75,0.5909,0.4875,0.4149,0.3611,0.5222,0.4747,,0.8333,0.7105,0.6346,0.5455,0.4875,0.4149,0.5786,0.5222,0.4747,,,0.55,0.5556,0.4412,0.375,0.383,0.5786,0.5222,0.4747
NCI-H2228,315,79,12,8.63,0.4338,0.6164,0.4406,0.4658,0.5913,0.5947,0.6507,0.2671,0.4384,0.3699,0.3288,0.6963,0.3927,0.0778,0.0838,0.0207,78.48,87.34,,0.7333,0.7273,0.6552,0.6319,0.614,0.5176,0.546,0.4798,0.4338,0.4286,0.3929,0.4603,0.5057,0.5347,0.5953,0.5176,0.5402,0.4798,0.4338,,0.1333,0.2273,0.3678,0.4414,0.5488,0.5176,0.5402,0.4798,0.4338
NCI-H226,342,86,12,4.21,0.3574,0.5683,0.4578,0.5783,0.4096,0.3554,0.2811,0.3574,0.1847,0.3554,0.245,0.6466,0.1566,0.0491,0.0704,0.015,79.07,84.88,0.75,0.3529,0.24,0.1765,0.5732,0.6054,0.5115,0.4495,0.3956,0.3574,,,,,,0.5782,0.5115,0.4495,0.3956,0.3574,0.4286,0.4062,0.5217,0.5104,0.5333,0.4898,0.5,0.4495,0.3956,0.3574
NCI-H2291,278,70,12,5.17,0.6956,0.6179,0.619,0.7077,0.5524,0.5323,0.5343,0.506,0.4738,0.747,0.629,0.6653,0.5302,0.0293,0.0319,0.0047,94.29,98.57,,,0.75,0.7692,0.7187,0.5897,0.6333,0.6471,0.6491,0.6956,,0.7692,0.65,0.5185,0.5909,0.4875,0.6222,0.5433,0.569,0.6956,0.6667,0.6923,0.7,0.7407,0.5303,0.6068,0.5556,0.5625,0.5621,0.6956
NCI-H23,339,85,12,13.21,0.688,0.7487,0.72,0.644,0.7107,0.6413,0.6053,0.5533,0.6733,0.638,0.704,0.6813,0.6973,0.1181,0.1061,0.0286,62.35,87.06,,0.75,0.48,0.3636,0.7692,0.6383,0.6327,0.6263,0.6061,0.688,,0.8667,0.75,0.7957,0.8105,0.7741,0.6852,0.6237,0.7075,0.688,,0.6875,0.75,0.6875,0.7628,0.7174,0.6914,0.6263,0.6061,0.688
NCI-H2342,264,67,12,12.39,0.7373,0.6928,0.6547,0.6716,0.5636,0.6949,0.625,0.5466,0.75,0.8242,0.6547,0.1992,0.8157,0.1259,0.1305,0.0472,55.22,74.63,1.0,0.4615,0.3,0.2308,0.1818,0.5385,0.6439,0.7224,0.6321,0.7373,0.6667,0.3077,0.3,0.2308,0.5938,0.5256,0.7209,0.7708,0.703,0.7373,0.6667,0.3077,0.3,0.2308,0.5938,0.5385,0.7267,0.7224,0.703,0.7373
NCI-H2347,271,68,12,7.37,0.3905,0.5286,0.4317,0.4889,0.3968,0.4127,0.5365,0.5365,0.4032,0.4175,0.3143,0.6,0.5175,0.0684,0.0822,0.0189,77.94,85.29,0.5,0.2308,0.5263,0.5867,0.4731,0.5338,0.4489,0.492,0.4316,0.3905,0.5,0.3333,0.3947,0.48,0.4516,0.5135,0.5535,0.492,0.4316,0.3905,0.0,0.375,0.3519,0.5217,0.5379,0.5556,0.5535,0.492,0.4316,0.3905
NCI-H2405,318,80,12,4.27,0.7359,0.6732,0.5238,0.2468,0.8831,0.8095,0.4848,0.3766,0.658,0.8615,0.2554,0.3939,0.5801,0.0472,0.0569,0.0135,86.25,92.5,,,,,,,0.9444,0.8226,0.8213,0.7359,,,,0.9355,0.9079,0.8696,0.8611,0.7984,0.8213,0.7359,,,,,,,,0.7984,0.8213,0.7359
NCI-H292,278,70,12,44.83,0.4615,0.4686,0.4682,0.4243,0.4847,0.4706,0.4657,0.4814,0.4847,0.4127,0.4591,0.4628,0.4913,0.3767,0.2172,0.2885,0.0,37.14,0.1667,0.3333,0.3818,0.3333,0.4276,0.4636,0.4444,0.4555,0.4592,0.4615,0.0833,0.4167,0.3727,0.401,0.4056,0.4038,0.4405,0.4701,0.4714,0.4615,0.2,0.3125,0.3273,0.349,0.4046,0.4636,0.4269,0.4362,0.4592,0.4615
NCI-H3122,312,78,12,13.59,0.4622,0.3969,0.3575,0.496,0.4718,0.5185,0.5878,0.591,0.5395,0.4622,0.4767,0.4718,0.4493,0.1315,0.1306,0.0498,57.69,71.79,1.0,0.6786,0.619,0.5446,0.5471,0.5407,0.5179,0.5114,0.5143,0.4622,,0.6429,0.725,0.6444,0.6263,0.5285,0.5179,0.5205,0.5125,0.4622,,0.6429,0.725,0.6519,0.6364,0.5325,0.5179,0.5114,0.5143,0.4622
NCI-H322M,339,85,12,8.02,0.626,0.7581,0.6626,0.622,0.6423,0.7236,0.5366,0.5081,0.5447,0.6138,0.7154,0.7846,0.4431,0.0693,0.0691,0.016,82.35,91.76,,,,,0.878,0.7347,0.6207,0.5455,0.48,0.626,,,,,0.8415,0.7245,0.6121,0.5455,0.48,0.626,,0.75,0.68,0.6061,0.6667,0.6633,0.6121,0.5455,0.6577,0.626
NCI-H358,317,80,12,13.6,0.4491,0.4413,0.3239,0.4413,0.4867,0.5258,0.4366,0.421,0.5712,0.457,0.4695,0.4867,0.3224,0.1457,0.1323,0.0603,51.25,70.0,,0.5333,0.746,0.5402,0.6286,0.5952,0.6785,0.5798,0.5062,0.4491,,0.7857,0.5909,0.5402,0.5417,0.619,0.612,0.529,0.4991,0.4491,1.0,0.7857,0.6136,0.5402,0.5417,0.5952,0.6172,0.5717,0.5062,0.4491
NCI-H441,321,81,12,1.99,0.6519,0.5633,0.7595,0.6772,0.7595,0.7943,0.9684,0.0253,0.6962,0.5854,0.5506,0.4304,0.4557,0.0218,0.0335,0.0034,88.89,96.3,,,,0.8438,0.675,0.5625,0.4821,0.4219,0.375,0.6519,,0.6875,0.625,0.5938,0.55,0.5417,0.4821,0.4219,0.375,0.6519,,,,,0.325,0.3542,0.3571,0.375,0.375,0.6519
NCI-H460,274,69,12,26.24,0.638,0.6914,0.6456,0.6654,0.5293,0.6134,0.5123,0.5595,0.5747,0.6734,0.586,0.6371,0.6059,0.2169,0.1645,0.1072,30.43,65.22,,0.7692,0.8333,0.8182,0.7315,0.7556,0.7812,0.7375,0.6829,0.638,1.0,1.0,0.6579,0.8333,0.824,0.75,0.6824,0.6535,0.6553,0.638,,1.0,0.7963,0.8182,0.7863,0.8163,0.7481,0.7084,0.6829,0.638
NCI-H520,317,80,12,15.37,0.6143,0.6636,0.6943,0.6486,0.6743,0.5014,0.49,0.4886,0.4457,0.4429,0.6371,0.5214,0.56,0.1579,0.136,0.0689,55.0,73.75,,0.8571,0.6508,0.4713,0.5208,0.4261,0.5767,0.4971,0.5099,0.6143,,0.7857,0.5,0.4713,0.3694,0.4261,0.3606,0.5144,0.5077,0.6143,,0.7857,0.619,0.4713,0.3694,0.4261,0.3606,0.4971,0.5099,0.6143
NCI-H522,312,78,12,7.18,0.6216,0.4358,0.5304,0.5946,0.5372,0.3412,0.3514,0.4223,0.5068,0.6943,0.7331,0.6149,0.652,0.0772,0.1024,0.0229,67.95,76.92,,,,,0.8947,0.7391,0.8141,0.7797,0.6866,0.6216,,,,0.9677,0.8421,0.7391,0.8141,0.7056,0.6225,0.6216,,,0.7391,0.7742,0.7895,0.7391,0.8141,0.7056,0.6225,0.6216
NCI-H647,272,69,12,24.34,0.6395,0.5259,0.5481,0.5185,0.5864,0.658,0.6667,0.6222,0.721,0.5735,0.5272,0.4383,0.5877,0.2517,0.1958,0.142,1.45,50.72,0.8333,0.625,0.5882,0.5043,0.4655,0.375,0.415,0.5565,0.5817,0.6395,0.6667,0.5417,0.5882,0.5682,0.4483,0.5441,0.4756,0.5457,0.5402,0.6395,0.6667,0.6667,0.5882,0.5833,0.4598,0.375,0.4184,0.5565,0.5817,0.6395
NCI-H650,322,81,12,6.7,0.5947,0.4474,0.5395,0.5211,0.5921,0.5461,0.4658,0.4132,0.6132,0.2789,0.5368,0.6842,0.4658,0.0674,0.0848,0.0209,76.54,86.42,0.25,0.125,0.0833,0.0625,0.05,0.6377,0.5432,0.4731,0.5652,0.5947,,,,,0.5128,0.4894,0.4182,0.4731,0.6441,0.5947,,,0.875,0.4677,0.4744,0.4787,0.5432,0.4731,0.65,0.5947
NCI-H661,318,80,12,9.05,0.4507,0.3947,0.2993,0.3618,0.4539,0.3816,0.4145,0.4079,0.4901,0.449,0.6349,0.398,0.5362,0.1145,0.1135,0.0442,63.75,75.0,,,0.9773,0.8161,0.6396,0.5259,0.4465,0.388,0.5037,0.4507,,,0.913,0.8046,0.6396,0.5259,0.4465,0.388,0.4963,0.4507,0.8333,0.8571,0.8409,0.8161,0.6396,0.5259,0.4465,0.388,0.5037,0.4507
NCI-H720,337,85,12,11.14,0.5234,0.5139,0.4971,0.4298,0.4459,0.6418,0.5,0.6126,0.6067,0.5468,0.4401,0.5058,0.443,0.088,0.0923,0.0199,70.59,87.06,0.5,0.4762,0.2899,0.4,0.3077,0.2553,0.3673,0.4274,0.5181,0.5234,0.4286,0.4524,0.2899,0.375,0.3077,0.2553,0.4537,0.5646,0.5768,0.5234,0.0,0.1429,0.2727,0.3333,0.3077,0.2553,0.4537,0.5729,0.5181,0.5234
NCI-H727,317,80,12,7.81,0.5733,0.7587,0.432,0.5253,0.52,0.576,0.6267,0.688,0.44,0.4587,0.4987,0.44,0.672,0.0896,0.1048,0.0269,65.0,80.0,,,0.9565,0.8667,0.6842,0.7037,0.6779,0.5875,0.5184,0.5733,,,0.913,0.9032,0.7928,0.6889,0.6779,0.5875,0.5184,0.5733,,1.0,0.8864,0.9,0.7928,0.6963,0.6779,0.5875,0.5184,0.5733
NCI-H810,320,81,12,21.2,0.6452,0.5938,0.575,0.4731,0.5346,0.6817,0.5538,0.5885,0.5952,0.6072,0.5702,0.6106,0.6365,0.2111,0.1731,0.0957,19.75,61.73,0.5,0.25,0.697,0.6034,0.6571,0.5349,0.5893,0.6871,0.6646,0.6452,1.0,0.7692,0.74,0.6714,0.619,0.6156,0.6157,0.6967,0.6423,0.6452,0.375,0.8269,0.75,0.6929,0.6524,0.5918,0.6296,0.6481,0.6646,0.6452
NCI-H835,175,44,12,13.24,0.4595,0.3861,0.4595,0.5174,0.39,0.5135,0.6023,0.5251,0.6757,0.4807,0.3938,0.2857,0.4942,0.1243,0.1158,0.0349,61.36,81.82,0.25,0.125,0.6061,0.4444,0.5,0.5091,0.4308,0.3613,0.5152,0.4595,0.25,0.125,0.4583,0.5893,0.6,0.5,0.4308,0.4722,0.5065,0.4595,0.25,0.125,0.4583,0.6071,0.6235,0.5,0.4308,0.4722,0.5152,0.4595
NCI-H838,274,69,12,16.62,0.5991,0.4585,0.5507,0.5438,0.6014,0.4954,0.6406,0.5438,0.4954,0.3906,0.4493,0.3664,0.5,0.1813,0.1612,0.0818,37.68,62.32,0.1667,0.0769,0.05,0.037,0.4545,0.5641,0.6682,0.5765,0.5819,0.5991,0.1667,0.0769,0.05,0.037,0.0294,0.6154,0.5611,0.5725,0.5819,0.5991,0.1667,0.0769,0.05,0.037,0.0294,0.6645,0.6545,0.5765,0.5819,0.5991
PC-14,323,81,12,17.08,0.574,0.6038,0.5856,0.6673,0.6029,0.6212,0.6154,0.6462,0.551,0.6125,0.5596,0.6317,0.5183,0.1498,0.1262,0.0558,51.85,81.48,0.7857,0.5385,0.44,0.3143,0.3714,0.4665,0.4537,0.5425,0.4713,0.574,0.5,0.4,0.2879,0.4321,0.4538,0.525,0.6111,0.544,0.6162,0.574,0.375,0.4524,0.3333,0.4383,0.458,0.4665,0.5692,0.5377,0.5557,0.574
PC-3_[JPC-3],266,67,12,8.11,0.5625,0.4635,0.6302,0.5365,0.4896,0.4818,0.3698,0.3958,0.6146,0.6823,0.6406,0.5417,0.5365,0.0522,0.0607,0.0086,83.58,91.04,,,,0.8462,0.8125,0.6667,0.5778,0.5,0.6207,0.5625,,,,0.8077,0.6667,0.55,0.5778,0.6732,0.6149,0.5625,,0.3077,0.5,0.4615,0.4545,0.5,0.4783,0.5,0.6149,0.5625
RERF-LC-KJ,322,81,12,9.93,0.6644,0.6045,0.6233,0.5873,0.5702,0.7277,0.5856,0.3767,0.6182,0.5214,0.6096,0.4589,0.6182,0.0836,0.0859,0.0214,75.31,88.89,,0.8125,0.5417,0.6129,0.4872,0.558,0.4753,0.6333,0.684,0.6644,1.0,0.9375,0.9583,0.6774,0.6316,0.5507,0.6038,0.63,0.6861,0.6644,0.125,0.1875,0.5217,0.5806,0.5641,0.558,0.6038,0.63,0.6244,0.6644
RERF-LC-MS,277,70,12,15.56,0.643,0.5,0.5902,0.612,0.6448,0.6339,0.7541,0.7632,0.5974,0.5182,0.6922,0.6375,0.5027,0.1634,0.1456,0.0673,48.57,70.0,,0.9231,0.8148,0.5867,0.4583,0.5132,0.4333,0.59,0.5944,0.643,1.0,0.8462,0.7407,0.5867,0.4583,0.3761,0.4333,0.5059,0.6523,0.643,,0.875,0.7778,0.5867,0.4583,0.3761,0.4333,0.375,0.5944,0.643
RERF-LC-Sq1,320,80,12,8.75,0.7029,0.6286,0.6514,0.7329,0.67,0.7093,0.5814,0.6943,0.65,0.8,0.5686,0.78,0.6886,0.0724,0.0703,0.0279,83.75,91.25,0.2857,0.1333,0.087,0.0645,0.6577,0.6307,0.6275,0.6207,0.5455,0.7029,0.1429,0.1333,0.087,0.5167,0.5766,0.5407,0.5865,0.6178,0.5455,0.7029,0.75,0.7143,0.7955,0.8167,0.7763,0.7333,0.5769,0.6178,0.5455,0.7029
SK-LU-1,318,80,12,10.55,0.592,0.6207,0.5469,0.5226,0.5451,0.6111,0.5347,0.5347,0.5885,0.4149,0.6545,0.4132,0.441,0.1025,0.116,0.0222,57.5,76.25,,0.9286,0.5909,0.4333,0.3421,0.608,0.5144,0.6236,0.666,0.592,1.0,0.8571,0.5909,0.6322,0.5495,0.5852,0.5144,0.4458,0.4985,0.592,,0.6,0.5909,0.6322,0.5495,0.5852,0.5144,0.4458,0.3934,0.592
SK-MES-1,322,81,12,16.38,0.5586,0.5101,0.4162,0.4929,0.5495,0.5828,0.5737,0.4545,0.5485,0.6141,0.4828,0.4141,0.599,0.151,0.1349,0.0604,56.79,72.84,,0.8333,0.66,0.537,0.5042,0.4787,0.4005,0.5286,0.5436,0.5586,0.75,0.6667,0.6212,0.537,0.4143,0.4184,0.4722,0.4709,0.5027,0.5586,1.0,0.8,0.5952,0.537,0.4143,0.4184,0.4722,0.5286,0.5436,0.5586
SW1573,321,81,12,1.74,0.5759,0.769,0.557,0.2911,0.6456,0.2278,0.4177,0.4747,0.3734,0.5063,0.2342,0.1266,0.3354,0.0159,0.0224,0.0006,93.83,98.77,,,,,,0.9681,0.8273,0.7222,0.6408,0.5759,,,,,,,0.7909,0.7222,0.6408,0.5759,,0.625,0.6739,0.6613,0.6538,0.6277,0.6091,0.6111,0.6127,0.5759
UMC-11,316,80,12,15.4,0.6786,0.5157,0.6157,0.59,0.5657,0.5586,0.4043,0.4114,0.5571,0.7479,0.7714,0.7843,0.8243,0.159,0.1438,0.0616,50.0,70.0,,0.9333,0.6087,0.4516,0.8194,0.6705,0.5673,0.6523,0.6738,0.6786,,0.8,0.5652,0.8276,0.7847,0.7488,0.6549,0.6494,0.7178,0.6786,,0.8667,0.5652,0.7333,0.7847,0.6705,0.6588,0.6523,0.7196,0.6786
VMRC-LCD,216,55,12,8.12,0.6471,0.4975,0.7255,0.4363,0.7745,0.8284,0.8039,0.2206,0.7255,0.7451,0.7647,0.2892,0.6373,0.0804,0.0941,0.0238,76.36,83.64,,,0.6875,0.5238,0.4074,0.3438,0.5811,0.6667,0.5816,0.6471,0.8,0.8333,0.7333,0.7,0.6731,0.6452,0.7315,0.6585,0.6957,0.6471,,,0.6667,0.65,0.6923,0.6613,0.7315,0.6585,0.5816,0.6471
